student_id,week,total_logins,total_videos,total_assignments,dropout
MHxPC130000494,8.0,1.0,0.0,0,1
MHxPC130000497,12.0,2.0,0.0,0,0
MHxPC130000497,20.0,1.0,0.0,0,1
MHxPC130000500,21.0,2.0,9.0,0.32,0
MHxPC130000501,19.0,1.0,0.0,0,1
MHxPC130000506,24.0,5.0,1.0,0,0
MHxPC130000513,32.0,1.0,0.0,0,1
MHxPC130000514,16.0,3.0,0.0,0,0
MHxPC130000519,8.0,1.0,0.0,0,1
MHxPC130000523,25.0,1.0,3.0,0,1
MHxPC130000525,19.0,2.0,0.0,0,0
MHxPC130000527,11.0,3.0,0.0,0,0
MHxPC130000527,20.0,1.0,1.0,0,1
MHxPC130000529,9.0,1.0,0.0,0,1
MHxPC130000530,15.0,7.0,24.0,0,0
MHxPC130000535,12.0,4.0,0.0,0,0
MHxPC130000542,17.0,8.0,16.0,00,0
MHxPC130000545,39.0,1.0,0.0, ,1
MHxPC130000548,36.0,2.0,0.0,0,0
MHxPC130000552,15.0,1.0,0.0,0,1
MHxPC130000557,14.0,1.0,0.0,0,1
MHxPC130000562,21.0,1.0,0.0,0,1
MHxPC130000563,8.0,1.0,0.0,0,1
MHxPC130000565,28.0,1.0,0.0,0.21,1
MHxPC130000572,46.0,0.0,0.0,0,1
MHxPC130000574,21.0,3.0,24.0,0.02,0
MHxPC130000578,33.0,2.0,0.0,0,0
MHxPC130000580,11.0,4.0,0.0,00,0
MHxPC130000580,21.0,1.0,14.0,0,1
MHxPC130000581,41.0,1.0,0.0,0,1
MHxPC130000582,8.0,1.0,0.0,0,1
MHxPC130000583,25.0,1.0,0.0,0,1
MHxPC130000584,12.0,1.0,0.0,0,1
MHxPC130000585,25.0,1.0,0.0,0,1
MHxPC130000589,11.0,2.0,0.0,0,0
MHxPC130000589,26.0,17.0,22.0,0,0
MHxPC130000599,31.0,32.0,0.0,0.65,0
MHxPC130000606,22.0,1.0,0.0,0,1
MHxPC130000610,20.0,1.0,0.0,0,1
MHxPC130000613,15.0,1.0,0.0,0,1
MHxPC130000623,13.0,3.0,0.0,0,0
MHxPC130000623,32.0,118.0,0.0,0.84,0
MHxPC130000625,18.0,1.0,0.0,0,1
MHxPC130000627,34.0,30.0,0.0,0,0
MHxPC130000629,43.0,1.0,0.0,0,1
MHxPC130000631,10.0,5.0,0.0,0,0
MHxPC130000632,21.0,2.0,0.0,0.01,0
MHxPC130000635,22.0,1.0,0.0,0,1
MHxPC130000636,10.0,1.0,0.0,0,1
MHxPC130000638,42.0,3.0,25.0,0,0
MHxPC130000643,34.0,3.0,0.0,0,0
MHxPC130000645,7.0,45.0,1291.0,0.99,0
MHxPC130000649,13.0,1.0,0.0,0,1
MHxPC130000650,24.0,3.0,3.0,0,0
MHxPC130000658,19.0,47.0,0.0,1,0
MHxPC130000661,13.0,1.0,0.0,0,1
MHxPC130000662,22.0,13.0,0.0,0,0
MHxPC130000668,36.0,5.0,0.0,0,0
MHxPC130000670,20.0,3.0,0.0,0,0
MHxPC130000672,46.0,0.0,0.0,0,1
MHxPC130000687,31.0,1.0,0.0,0,1
MHxPC130000690,7.0,2.0,0.0,0,0
MHxPC130000699,9.0,1.0,0.0,0,1
MHxPC130000702,21.0,5.0,34.0,0,0
MHxPC130000703,19.0,1.0,0.0,0,1
MHxPC130000703,23.0,6.0,0.0,0,0
MHxPC130000705,9.0,3.0,0.0,0,0
MHxPC130000715,21.0,45.0,0.0,1,0
MHxPC130000717,20.0,2.0,0.0,0,0
MHxPC130000723,30.0,2.0,0.0,0,0
MHxPC130000724,3.0,35.0,1681.0,0.3,0
MHxPC130000725,22.0,6.0,1.0,0,0
MHxPC130000733,43.0,5.0,4.0,0,0
MHxPC130000739,21.0,3.0,15.0,0,0
MHxPC130000741,12.0,1.0,0.0,0,1
MHxPC130000742,27.0,1.0,0.0,0,1
MHxPC130000753,7.0,1.0,0.0,0,1
MHxPC130000753,25.0,8.0,0.0,0.05,0
MHxPC130000754,35.0,2.0,0.0,0,0
MHxPC130000764,28.0,2.0,0.0,0,0
MHxPC130000772,42.0,1.0,0.0,0,1
MHxPC130000773,29.0,3.0,2.0,0,0
MHxPC130000776,15.0,6.0,0.0,0,0
MHxPC130000778,31.0,2.0,0.0,0,0
MHxPC130000778,46.0,2.0,0.0,0,0
MHxPC130000782,17.0,5.0,0.0,0,0
MHxPC130000784,9.0,1.0,0.0,0,1
MHxPC130000786,19.0,2.0,0.0,0,0
MHxPC130000790,19.0,3.0,0.0,0,0
MHxPC130000791,12.0,2.0,0.0,0,0
MHxPC130000792,22.0,1.0,3.0,0,1
MHxPC130000793,31.0,1.0,0.0,0.52,1
MHxPC130000797,23.0,1.0,0.0, ,1
MHxPC130000799,2.0,10.0,2.0,0.4,0
MHxPC130000800,44.0,1.0,0.0,0,1
MHxPC130000801,12.0,11.0,0.0,0,0
MHxPC130000803,23.0,1.0,0.0,0,1
MHxPC130000807,10.0,1.0,0.0,0,1
MHxPC130000811,36.0,1.0,0.0,0,1
MHxPC130000814,31.0,2.0,0.0, ,0
MHxPC130000817,25.0,7.0,0.0,0,0
MHxPC130000822,31.0,1.0,0.0,0,1
MHxPC130000828,8.0,1.0,0.0,0,1
MHxPC130000830,24.0,4.0,0.0,0,0
MHxPC130000831,8.0,1.0,0.0,0,1
MHxPC130000833,39.0,2.0,0.0,0,0
MHxPC130000835,17.0,1.0,0.0,0,1
MHxPC130000835,21.0,3.0,2.0,0,0
MHxPC130000835,39.0,1.0,0.0,0,1
MHxPC130000837,12.0,5.0,0.0,0,0
MHxPC130000839,15.0,3.0,0.0,0,0
MHxPC130000841,8.0,1.0,0.0,0,1
MHxPC130000846,19.0,1.0,0.0,0,1
MHxPC130000850,13.0,2.0,0.0,0,0
MHxPC130000851,8.0,2.0,0.0,00,0
MHxPC130000854,26.0,4.0,0.0,0,0
MHxPC130000858,9.0,1.0,0.0,0,1
MHxPC130000859,52.0,2.0,16.0,0,0
MHxPC130000862,10.0,3.0,0.0,0,0
MHxPC130000864,9.0,1.0,0.0,0,1
MHxPC130000866,13.0,6.0,0.0,0,0
MHxPC130000866,21.0,2.0,4.0,0,0
MHxPC130000868,43.0,2.0,13.0,0,0
MHxPC130000870,17.0,1.0,0.0,0,1
MHxPC130000873,14.0,7.0,0.0,0,0
MHxPC130000875,10.0,2.0,0.0,0,0
MHxPC130000877,14.0,1.0,0.0,0,1
MHxPC130000879,1.0,1.0,0.0,0,1
MHxPC130000885,20.0,2.0,0.0,0,0
MHxPC130000889,34.0,1.0,0.0,0,1
MHxPC130000891,7.0,1.0,0.0,0,1
MHxPC130000895,43.0,4.0,43.0,0,0
MHxPC130000900,13.0,1.0,0.0,0,1
MHxPC130000902,43.0,2.0,31.0,0.01,0
MHxPC130000904,31.0,6.0,0.0,0,0
MHxPC130000906,18.0,42.0,0.0,1,0
MHxPC130000907,16.0,3.0,0.0,0,0
MHxPC130000912,11.0,3.0,0.0,0,0
MHxPC130000919,26.0,1.0,0.0,0,1
MHxPC130000923,28.0,1.0,0.0,0,1
MHxPC130000928,49.0,1.0,0.0,0,1
MHxPC130000931,17.0,1.0,0.0,0,1
MHxPC130000936,14.0,2.0,0.0,0,0
MHxPC130000944,27.0,6.0,0.0,0.76,0
MHxPC130000946,9.0,1.0,0.0,0,1
MHxPC130000950,21.0,44.0,0.0,0,0
MHxPC130000956,17.0,1.0,0.0,0,1
MHxPC130000957,1.0,4.0,25.0,0,0
MHxPC130000962,8.0,1.0,0.0,0,1
MHxPC130000967,29.0,4.0,9.0,0,0
MHxPC130000968,29.0,9.0,3.0,0,0
MHxPC130000969,34.0,1.0,0.0,0,1
MHxPC130000974,46.0,0.0,0.0,0,1
MHxPC130000977,11.0,1.0,0.0,0,1
MHxPC130000982,13.0,2.0,0.0,0,0
MHxPC130000985,17.0,1.0,0.0,0,1
MHxPC130000988,20.0,1.0,0.0,0,1
MHxPC130000989,13.0,10.0,0.0,0,0
MHxPC130000989,14.0,14.0,0.0,00,0
MHxPC130000993,10.0,1.0,0.0,0,1
MHxPC130001000,27.0,4.0,0.0,0,0
MHxPC130001001,9.0,1.0,0.0,0,1
MHxPC130001003,33.0,1.0,0.0,0,1
MHxPC130001005,42.0,2.0,0.0,0,0
MHxPC130001007,11.0,1.0,0.0,0,1
MHxPC130001010,36.0,9.0,0.0,0,0
MHxPC130001020,19.0,1.0,0.0,0,1
MHxPC130001029,14.0,2.0,0.0,00,0
MHxPC130001033,39.0,1.0,0.0,0,1
MHxPC130001035,17.0,1.0,0.0,0,1
MHxPC130001038,20.0,2.0,0.0,0,0
MHxPC130001039,42.0,1.0,2.0,0,1
MHxPC130001041,22.0,10.0,2.0,0,0
MHxPC130001044,12.0,5.0,0.0,0,0
MHxPC130001045,9.0,1.0,0.0,0,1
MHxPC130001047,9.0,1.0,0.0,0,1
MHxPC130001049,44.0,10.0,192.0,0.07,0
MHxPC130001052,10.0,2.0,0.0,0,0
MHxPC130001056,10.0,1.0,0.0,0,1
MHxPC130001058,13.0,1.0,0.0,0,1
MHxPC130001060,21.0,7.0,17.0,0,0
MHxPC130001061,24.0,2.0,0.0,0,0
MHxPC130001066,36.0,1.0,0.0,0,1
MHxPC130001068,9.0,1.0,0.0,0,1
MHxPC130001073,3.0,28.0,655.0,0.01,0
MHxPC130001074,19.0,1.0,0.0,0,1
MHxPC130001075,11.0,2.0,0.0,0,0
MHxPC130001078,7.0,1.0,0.0,0,1
MHxPC130001084,17.0,1.0,0.0,0,1
MHxPC130001085,13.0,1.0,0.0,0,1
MHxPC130001085,22.0,2.0,0.0,0,0
MHxPC130001085,49.0,1.0,0.0,0,1
MHxPC130001087,32.0,1.0,0.0,0,1
MHxPC130001094,9.0,3.0,0.0,00,0
MHxPC130001095,35.0,1.0,0.0,0,1
MHxPC130001096,46.0,0.0,0.0,0,1
MHxPC130001099,11.0,6.0,0.0,0,0
MHxPC130001102,24.0,1.0,0.0,0,1
MHxPC130001104,15.0,2.0,2.0,0,0
MHxPC130001105,22.0,1.0,0.0,0,1
MHxPC130001112,34.0,1.0,0.0,0,1
MHxPC130001113,11.0,1.0,0.0,0,1
MHxPC130001116,26.0,1.0,0.0,0,1
MHxPC130001117,42.0,1.0,0.0,0,1
MHxPC130001118,37.0,1.0,0.0,0,1
MHxPC130001119,28.0,18.0,0.0,0.21,0
MHxPC130001127,16.0,1.0,0.0,0,1
MHxPC130001128,16.0,22.0,0.0,0,0
MHxPC130001129,22.0,4.0,10.0,00,0
MHxPC130001135,33.0,1.0,0.0,0,1
MHxPC130001140,19.0,1.0,0.0,0,1
MHxPC130001146,13.0,32.0,1472.0,0.27,0
MHxPC130001147,26.0,2.0,2.0,0.89,0
MHxPC130001147,33.0,7.0,0.0,0.98,0
MHxPC130001148,50.0,1.0,0.0,0,1
MHxPC130001153,22.0,3.0,47.0,0,0
MHxPC130001153,33.0,79.0,0.0,0.74,0
MHxPC130001154,20.0,1.0,0.0,0,1
MHxPC130001155,21.0,2.0,0.0,0,0
MHxPC130001157,42.0,1.0,10.0,0,1
MHxPC130001166,30.0,9.0,76.0,0.12,0
MHxPC130001171,30.0,1.0,0.0,0,1
MHxPC130001175,17.0,10.0,0.0,0,0
MHxPC130001182,20.0,1.0,0.0,0,1
MHxPC130001183,13.0,1.0,0.0,0,1
MHxPC130001185,30.0,1.0,0.0,0,1
MHxPC130001192,8.0,2.0,0.0,0,0
MHxPC130001200,19.0,7.0,0.0,0,0
MHxPC130001217,39.0,1.0,0.0,0,1
MHxPC130001223,22.0,17.0,0.0,0,0
MHxPC130001223,33.0,7.0,0.0,0.04,0
MHxPC130001224,16.0,1.0,0.0,0,1
MHxPC130001226,15.0,3.0,0.0,0,0
MHxPC130001227,30.0,5.0,0.0,0,0
MHxPC130001230,34.0,2.0,49.0,0,0
MHxPC130001230,35.0,5.0,0.0,0,0
MHxPC130001232,30.0,2.0,0.0,00,0
MHxPC130001232,46.0,1.0,0.0,0,1
MHxPC130001238,29.0,24.0,0.0,0.26,0
MHxPC130001255,21.0,3.0,11.0,0,0
MHxPC130001259,12.0,2.0,0.0,0,0
MHxPC130001259,14.0,9.0,0.0,0,0
MHxPC130001262,24.0,1.0,0.0,0,1
MHxPC130001266,46.0,0.0,0.0,0,1
MHxPC130001267,13.0,1.0,0.0,0,1
MHxPC130001272,17.0,1.0,0.0,0,1
MHxPC130001276,46.0,0.0,0.0,0,1
MHxPC130001281,23.0,1.0,0.0,0,1
MHxPC130001281,46.0,1.0,0.0,0,1
MHxPC130001289,27.0,1.0,0.0,0,1
MHxPC130001291,32.0,13.0,0.0,0,0
MHxPC130001297,45.0,2.0,0.0,0,0
MHxPC130001298,18.0,29.0,0.0,0,0
MHxPC130001300,33.0,16.0,0.0,0.04,0
MHxPC130001300,36.0,2.0,0.0,0,0
MHxPC130001301,7.0,2.0,0.0,0,0
MHxPC130001312,14.0,3.0,0.0,0,0
MHxPC130001315,21.0,2.0,2.0,0,0
MHxPC130001326,32.0,1.0,0.0,0,1
MHxPC130001332,23.0,1.0,3.0,0,1
MHxPC130001335,28.0,1.0,0.0,0,1
MHxPC130001336,14.0,21.0,0.0,0.02,0
MHxPC130001337,10.0,3.0,0.0,0,0
MHxPC130001340,12.0,2.0,0.0,0,0
MHxPC130001340,45.0,1.0,0.0,0,1
MHxPC130001345,11.0,8.0,0.0,0,0
MHxPC130001347,33.0,1.0,0.0,0,1
MHxPC130001348,36.0,1.0,0.0,0,1
MHxPC130001352,22.0,1.0,0.0,0,1
MHxPC130001358,27.0,22.0,0.0,0,0
MHxPC130001359,31.0,1.0,0.0,0,1
MHxPC130001369,24.0,2.0,0.0,0,0
MHxPC130001371,24.0,1.0,0.0,0,1
MHxPC130001375,46.0,0.0,0.0,0,1
MHxPC130001378,46.0,0.0,0.0,0,1
MHxPC130001380,13.0,4.0,0.0,0,0
MHxPC130001388,20.0,3.0,23.0,0,0
MHxPC130001393,24.0,14.0,0.0,0,0
MHxPC130001396,14.0,3.0,0.0,0,0
MHxPC130001398,32.0,1.0,0.0,0,1
MHxPC130001402,24.0,4.0,0.0,0,0
MHxPC130001405,46.0,0.0,0.0,0,1
MHxPC130001409,44.0,11.0,66.0,0,0
MHxPC130001410,51.0,4.0,0.0,0,0
MHxPC130001411,17.0,2.0,0.0,0,0
MHxPC130001419,12.0,2.0,0.0,0,0
MHxPC130001419,14.0,4.0,0.0,0,0
MHxPC130001420,32.0,15.0,0.0,00,0
MHxPC130001422,41.0,3.0,0.0,0,0
MHxPC130001423,24.0,1.0,0.0,0,1
MHxPC130001425,21.0,2.0,22.0,0,0
MHxPC130001427,13.0,2.0,0.0,0,0
MHxPC130001430,20.0,2.0,0.0,0,0
MHxPC130001431,12.0,1.0,0.0,0,1
MHxPC130001433,43.0,2.0,0.0,0,0
MHxPC130001434,31.0,3.0,0.0,0,0
MHxPC130001446,32.0,1.0,0.0,0,1
MHxPC130001448,23.0,2.0,11.0,0,0
MHxPC130001452,17.0,5.0,0.0,0,0
MHxPC130001462,22.0,2.0,5.0,0,0
MHxPC130001462,41.0,2.0,0.0,0,0
MHxPC130001468,29.0,1.0,0.0,0,1
MHxPC130001469,32.0,1.0,0.0,0,1
MHxPC130001470,3.0,25.0,80.0,0.87,0
MHxPC130001471,8.0,1.0,0.0,0,1
MHxPC130001472,28.0,2.0,0.0,0,0
MHxPC130001476,21.0,1.0,0.0,0,1
MHxPC130001478,32.0,1.0,0.0,0,1
MHxPC130001479,16.0,1.0,0.0,0,1
MHxPC130001480,13.0,1.0,0.0,0,1
MHxPC130001481,31.0,43.0,557.0,0.93,0
MHxPC130001488,33.0,1.0,0.0,0,1
MHxPC130001489,27.0,1.0,0.0,0,1
MHxPC130001492,19.0,3.0,0.0,0,0
MHxPC130001493,13.0,5.0,0.0,0,0
MHxPC130001494,21.0,1.0,0.0,0,1
MHxPC130001496,16.0,2.0,0.0,0,0
MHxPC130001499,36.0,3.0,0.0,0,0
MHxPC130001503,14.0,4.0,0.0,0,0
MHxPC130001508,12.0,2.0,0.0,00,0
MHxPC130001508,30.0,2.0,0.0,0,0
MHxPC130001514,8.0,3.0,0.0,0,0
MHxPC130001516,44.0,1.0,4.0,0,1
MHxPC130001520,32.0,18.0,29.0,0.89,0
MHxPC130001533,15.0,5.0,0.0,0,0
MHxPC130001533,22.0,3.0,1.0,0,0
MHxPC130001534,33.0,56.0,0.0,0.73,0
MHxPC130001535,26.0,4.0,7.0,0.56,0
MHxPC130001536,30.0,21.0,0.0,0,0
MHxPC130001536,36.0,14.0,103.0,0,0
MHxPC130001538,46.0,1.0,0.0,0,1
MHxPC130001541,36.0,1.0,0.0,0,1
MHxPC130001553,11.0,2.0,0.0,0,0
MHxPC130001553,33.0,18.0,0.0,0,0
MHxPC130001554,25.0,1.0,0.0,0,1
MHxPC130001557,30.0,2.0,12.0,0,0
MHxPC130001563,16.0,2.0,0.0,0,0
MHxPC130001568,11.0,1.0,0.0,0,1
MHxPC130001573,15.0,13.0,0.0,0,0
MHxPC130001575,17.0,2.0,0.0, 0,0
MHxPC130001577,36.0,13.0,0.0,0.66,0
MHxPC130001582,51.0,7.0,16.0,0,0
MHxPC130001583,43.0,1.0,0.0,0,1
MHxPC130001586,26.0,5.0,0.0,0,0
MHxPC130001587,20.0,4.0,0.0,0.05,0
MHxPC130001589,7.0,1.0,0.0,0,1
MHxPC130001590,28.0,11.0,42.0,0.89,0
MHxPC130001591,31.0,1.0,0.0,0,1
MHxPC130001592,15.0,14.0,55.0,0,0
MHxPC130001594,11.0,2.0,0.0,0,0
MHxPC130001599,10.0,2.0,0.0,0,0
MHxPC130001604,23.0,1.0,0.0,0,1
MHxPC130001605,20.0,3.0,0.0,0,0
MHxPC130001605,23.0,13.0,132.0,0,0
MHxPC130001606,30.0,1.0,0.0,0,1
MHxPC130001613,21.0,2.0,3.0,0,0
MHxPC130001614,43.0,5.0,37.0,0.01,0
MHxPC130001616,21.0,1.0,1.0,0,1
MHxPC130001616,47.0,11.0,84.0,0.01,0
MHxPC130001622,24.0,7.0,28.0,0.03,0
MHxPC130001626,18.0,3.0,0.0,0,0
MHxPC130001628,15.0,1.0,0.0,0,1
MHxPC130001634,7.0,1.0,0.0,0,1
MHxPC130001634,36.0,3.0,0.0,0,0
MHxPC130001634,43.0,3.0,4.0,0.01,0
MHxPC130001642,22.0,2.0,11.0,0,0
MHxPC130001646,19.0,1.0,0.0,0,1
MHxPC130001647,15.0,1.0,0.0,0,1
MHxPC130001652,25.0,8.0,21.0,0,0
MHxPC130001653,11.0,2.0,0.0,0,0
MHxPC130001654,14.0,1.0,0.0,0,1
MHxPC130001663,24.0,1.0,0.0,0,1
MHxPC130001665,42.0,3.0,50.0, ,0
MHxPC130001667,8.0,1.0,0.0,0,1
MHxPC130001668,31.0,1.0,0.0,0,1
MHxPC130001676,14.0,1.0,0.0,0,1
MHxPC130001679,10.0,1.0,0.0,0,1
MHxPC130001685,44.0,3.0,4.0,0,0
MHxPC130001688,46.0,0.0,0.0,0,1
MHxPC130001689,46.0,0.0,0.0,0,1
MHxPC130001692,18.0,1.0,0.0,0,1
MHxPC130001693,34.0,1.0,0.0,0,1
MHxPC130001696,34.0,2.0,0.0,0,0
MHxPC130001701,13.0,1.0,0.0,0,1
MHxPC130001702,13.0,15.0,0.0,00,0
MHxPC130001707,14.0,8.0,63.0,0,0
MHxPC130001709,16.0,1.0,0.0,0,1
MHxPC130001713,15.0,2.0,0.0,0,0
MHxPC130001720,15.0,4.0,0.0,0,0
MHxPC130001722,19.0,1.0,0.0,0,1
MHxPC130001727,20.0,2.0,13.0,0,0
MHxPC130001734,46.0,0.0,0.0,0,1
MHxPC130001736,46.0,0.0,0.0,0,1
